City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code
Arlington,Texas,32.6,191060.0,197062.0,388122,79271.0,2.89,TX
Perris,California,26.9,41623.0,33336.0,74959,23277.0,4.78,CA
Chino Hills,California,41.9,39639.0,38674.0,78313,24764.0,3.05,CA
San Leandro,California,41.8,43032.0,47679.0,90711,34293.0,2.79,CA
Duluth,Minnesota,34.7,41271.0,44855.0,86126,2258.0,2.25,MN
Carolina,Puerto Rico,42.0,64758.0,77308.0,142066,,,PR
San Buenaventura,California,37.7,53932.0,55785.0,109717,18025.0,2.68,CA
Harlingen,Texas,30.1,32404.0,33365.0,65769,10391.0,3.0,TX
Tyler,Texas,33.9,50422.0,53283.0,103705,8225.0,2.59,TX
Bellflower,California,33.4,38936.0,39498.0,78434,24607.0,3.58,CA
Ponce,Puerto Rico,40.5,56968.0,64615.0,121583,,,PR
